City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Saint-Paul,RE,77.11,few clouds,-21.0096,55.2707,Boucan Canot
2,Avarua,CK,84.25,light rain,-21.2078,-159.775,Paradise Inn
10,Rikitea,PF,79.07,light rain,-23.1203,-134.9692,People ThankYou
11,Gondanglegi,ID,77.7,few clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
15,Lamu,KE,81.97,few clouds,-2.2717,40.902,Lamu House
17,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
20,Butaritari,KI,79.88,moderate rain,3.0707,172.7902,Isles Sunset Lodge
22,Nicoya,CR,83.62,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
28,Atuona,PF,79.43,few clouds,-9.8,-139.0333,Villa Enata
29,Hithadhoo,MV,83.53,few clouds,-0.6,73.0833,Scoop Guest House
32,Ardmore,US,79.25,clear sky,34.1743,-97.1436,"Motel 6 Ardmore, OK"
33,Kieta,PG,84.74,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
36,Hilo,US,78.53,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
44,Hobyo,SO,81.28,clear sky,5.3505,48.5268,Iftin hotel hobyo
45,Kavaratti,IN,83.39,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
46,Bandarbeyla,SO,78.78,clear sky,9.4942,50.8122,JABIR HOTEL
50,Narrabri,AU,77.52,clear sky,-30.3167,149.7833,Crossroads Hotel
53,Puerto Ayora,EC,78.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
54,Kiama,AU,79.57,few clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
56,Kapaa,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
60,Pandan,PH,79.72,overcast clouds,14.0453,124.1694,Bonifacio Lodge
66,Am Timan,TD,84.31,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
67,Tamale,GH,86.25,light rain,9.4008,-0.8393,Tap Hotel
68,Yulara,AU,78.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
74,Karaton,ID,75.25,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
77,Alirajpur,IN,78.51,scattered clouds,22.3031,74.3546,Shree Yatindrasuri Indra Bhavan
85,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
92,Kupang,ID,80.76,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
93,Bengkulu,ID,75.13,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
107,Ishigaki,JP,75.33,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
108,Samarai,PG,84.97,broken clouds,-10.6167,150.6667,Nuli Sapi
111,Nelson Bay,AU,77.0,clear sky,-32.7167,152.15,Mantra Nelson Bay
112,Grand Gaube,MU,77.4,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
113,Pointe-Noire,CG,77.49,overcast clouds,-4.7761,11.8635,Kactus Lodge
114,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
116,Karratha,AU,82.06,clear sky,-20.7377,116.8463,ibis Styles Karratha
124,Petatlan,MX,82.92,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
125,Bintulu,MY,76.71,overcast clouds,3.1667,113.0333,900 Boutique INN
126,Celestun,MX,82.51,scattered clouds,20.8667,-90.4,Posada Lilia
128,Esmeraldas,BR,77.86,scattered clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
129,Kahului,US,86.02,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
142,Howard Springs,AU,87.71,broken clouds,-12.497,131.047,buffalo beach hostel
147,Mackay,AU,79.68,overcast clouds,-21.15,149.2,International Lodge Motel
150,San Patricio,US,78.55,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
154,Pangai,TO,84.31,few clouds,-19.8,-174.35,Ha'apai Beach Resort
159,Ibotirama,BR,80.35,scattered clouds,-12.1853,-43.2206,Serra do Rio Hotel
163,Trinidad,BO,75.83,scattered clouds,-14.8333,-64.9,Hotel Piesta
164,Atar,MR,77.45,clear sky,20.5169,-13.0499,Oumou Elghoura
165,Torit,SS,77.43,broken clouds,4.4133,32.5678,Diplomat Guest House
167,Ocos,GT,87.98,scattered clouds,14.5094,-92.1933,Auto Hotel El Soñador
176,Arraial Do Cabo,BR,75.81,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
177,Cravo Norte,CO,86.92,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
178,Souillac,MU,76.93,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
183,Faanui,PF,81.5,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
184,Kilindoni,TZ,82.44,light rain,-7.9139,39.6668,Bustani B&B
185,San Andres,CO,80.62,few clouds,12.5847,-81.7006,Hotel Arena Blanca
190,Iralaya,HN,78.4,broken clouds,15.0,-83.2333,Iglesia morava renovada
194,Meulaboh,ID,76.6,heavy intensity rain,4.1363,96.1285,Kost Pria
197,Gizo,SB,84.54,broken clouds,-8.103,156.8419,Imagination Island
199,Majene,ID,79.47,broken clouds,-3.5403,118.9707,Kost Putri RABBANI
200,Waingapu,ID,79.68,few clouds,-9.6567,120.2641,Pondok Wisata Elim
203,Inirida,CO,75.07,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
211,Port Hedland,AU,82.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
218,Sarangani,PH,82.51,overcast clouds,5.4033,125.4636,Ballistic Islet
219,Bitung,ID,85.05,broken clouds,1.4451,125.1824,K2 Lembeh
228,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
231,Vila Velha,BR,78.75,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
233,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
236,Lahore,PK,76.98,smoke,31.5497,74.3436,The Residency Hotel
237,Chiplun,IN,75.52,overcast clouds,17.5333,73.5167,Hotel Reemz
239,Lotofaga,WS,89.38,few clouds,-13.9764,-171.8578,Sataoa Beach Fales
244,Biloela,AU,82.94,clear sky,-24.4167,150.5,Biloela Silo Motor Inn
246,Cabo Rojo,PR,79.92,overcast clouds,18.0866,-67.1457,Hotel Perichi's
250,Kattivakkam,IN,84.07,overcast clouds,13.2167,80.3167,Euronova Freezer
251,Mareeba,AU,84.67,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
252,Caravelas,BR,78.1,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
253,Garissa,KE,79.56,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
259,Kota Belud,MY,78.82,light rain,6.351,116.4305,Tang Dynasty Lodge Kota Belud
265,Kirakira,SB,83.37,broken clouds,-10.4544,161.9205,SanBiz Lodge
267,Ballina,AU,78.98,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
271,Manokwari,ID,78.82,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
273,Dhule,IN,83.21,broken clouds,20.9,74.7833,Hotel Dwarkamai
276,Kununurra,AU,84.18,few clouds,-15.7667,128.7333,Hotel Kununurra
282,Quatre Cocos,MU,77.11,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
284,Iquitos,PE,77.04,scattered clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
286,Victoria,HK,75.96,clear sky,22.2855,114.1577,Mini Hotel Central
292,Oyotun,PE,77.74,broken clouds,-6.8519,-79.3036,Hotel Campos
300,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
306,Road Town,VG,78.89,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
307,Port-Gentil,GA,80.17,scattered clouds,-0.7193,8.7815,Fengshui Residence
311,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
313,Isangel,VU,84.13,few clouds,-19.55,169.2667,Tanna Lodge
316,Champerico,GT,86.54,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
317,Saint-Pierre,RE,76.68,broken clouds,-21.3393,55.4781,Lindsey Hôtel
318,Tzucacab,MX,82.8,few clouds,20.0667,-89.05,Hotel Jabines Centro
323,Bhag,PK,85.96,overcast clouds,29.0415,67.8239,Bukhari hotl
326,Itarema,BR,76.19,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
327,Namatanai,PG,84.79,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
329,Pak Phanang,TH,78.82,overcast clouds,8.3511,100.202,Green Park Inn Hotel
341,Soure,BR,76.77,overcast clouds,-0.7167,-48.5233,Casarão da Amazônia
342,Vao,NC,77.45,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
348,Buala,SB,81.07,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
350,San Fernando,PH,81.5,overcast clouds,15.0286,120.6898,Maharlika Hostel
355,Morant Bay,JM,78.42,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
358,Kavieng,PG,84.13,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
359,Anloga,GH,82.09,overcast clouds,5.7947,0.8973,Pin Drop Hotel
360,Mitsamiouli,KM,81.88,few clouds,-11.3847,43.2844,Foyer ADM
361,Sinnamary,GF,77.86,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
362,Ixtapa,MX,78.03,scattered clouds,20.7,-105.2,hotel la terminal
368,Singapore,SG,80.55,haze,1.2897,103.8501,The Fullerton Hotel Singapore
370,Tanete,ID,78.3,scattered clouds,-3.9443,119.7848,Wisma Tri Multi
374,Amet,IN,79.03,scattered clouds,25.3,73.9333,Nimit Mehta
376,Varzea Da Palma,BR,78.48,overcast clouds,-17.5981,-44.7308,Casa Fernandes
378,Port Macquarie,AU,78.89,clear sky,-31.4333,152.9167,Rydges Port Macquarie
381,Porto Novo,BJ,82.22,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
384,Srivardhan,IN,78.94,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
386,Santiago Del Estero,AR,75.27,broken clouds,-27.7951,-64.2615,Apartamentos Castelli 90
399,Buchanan,LR,79.61,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
401,Mathbaria,BD,79.25,few clouds,22.2876,89.9593,Shikdar Hotel
405,Laguna,US,75.61,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
406,Kokopo,PG,83.57,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
407,Gladstone,AU,80.78,clear sky,-23.85,151.25,Highpoint International Hotel
408,Kulhudhuffushi,MV,83.57,broken clouds,6.6221,73.07,Haajy Guest House 1
412,Imbituba,BR,75.81,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
423,Nanakuli,US,84.15,overcast clouds,21.3906,-158.1547,Camp Pālehua
425,Touros,BR,80.46,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
428,Majagual,CO,78.19,overcast clouds,8.5389,-74.6204,Achi bolivar
429,Victoria Point,AU,80.26,clear sky,-27.5833,153.3,Bay Retreat Motel
434,Dapdap,PH,79.63,overcast clouds,12.062,125.4881,Oasis Lodge
438,Bubaque,GW,76.19,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
439,Fayaoue,NC,80.55,broken clouds,-20.65,166.5333,Chez Dydyce Guesthouse
440,Minab,IR,77.22,clear sky,27.1467,57.0801,Bam campground
441,Honiara,SB,86.49,light rain,-9.4333,159.95,Heritage Park Hotel
445,San Bartolome Jocotenango,GT,76.46,scattered clouds,15.1928,-91.0772,Quiche
451,Mazatlan,MX,78.76,scattered clouds,23.2167,-106.4167,Hotel La Siesta
456,Puerto Maldonado,PE,77.4,clear sky,-12.6,-69.1833,Wasai Hotel
463,Gumia,IN,77.58,clear sky,23.7833,85.8167,Dj Banti Rmx Hosir
464,Parrita,CR,80.53,broken clouds,9.5201,-84.3225,Beso del Viento
465,Tual,ID,79.12,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
468,Trairi,BR,75.63,broken clouds,-3.2778,-39.2689,janelas do mar
475,Picota,PE,79.29,overcast clouds,-6.9197,-76.3304,Hospedaje Vanessa
482,Dicabisagan,PH,79.84,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
487,Santa Cruz,BO,80.06,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
489,Sao Miguel Do Araguaia,BR,77.23,clear sky,-13.275,-50.1628,Hotel Executivo Palace
494,Sur,OM,86.29,few clouds,22.5667,59.5289,Sur Plaza Hotel
497,Oriximina,BR,75.02,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
498,Panaba,MX,80.53,scattered clouds,21.2833,-88.2667,Hotel California
500,Jalalabad,AF,77.02,overcast clouds,34.4265,70.4515,انصاف چهاردهي هوټل
503,Nabire,ID,80.85,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
507,Belmonte,BR,77.54,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
510,Jacqueville,CI,81.46,scattered clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
512,Alibag,IN,82.47,overcast clouds,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
514,Devgarh,IN,77.61,scattered clouds,25.5333,73.9,Deogarh Mahal
532,Lorengau,PG,84.6,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
535,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
537,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
539,Jati,PK,77.86,broken clouds,24.3539,68.2671,Cafe Lala Rehan Restaurant
542,Sao Jose Da Coroa Grande,BR,78.55,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
547,Onverwacht,SR,77.0,scattered clouds,5.5833,-55.1833,"Overtoom, District Para, Paramaribo"
550,Gigmoto,PH,79.81,overcast clouds,13.7796,124.39,Cj's Travellers Inn
553,Padang,ID,75.25,scattered clouds,-0.9492,100.3543,Mercure Padang
555,Bowen,AU,81.37,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
558,Labuhan,ID,78.53,broken clouds,-6.8844,112.2051,DoubleFAG
576,Dubai,AE,76.93,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
577,Maragogi,BR,78.19,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
586,Charters Towers,AU,80.91,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
587,Mumford,GH,81.23,broken clouds,5.2618,-0.759,Spanish Villa
589,Alice Springs,AU,80.15,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
590,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
594,Tautira,PF,81.32,scattered clouds,-17.7333,-149.15,Pension Oaoa
595,Donghai,CN,76.95,clear sky,22.9459,115.642,Huacheng Restaurant
607,Iranduba,BR,75.49,overcast clouds,-3.2847,-60.1861,Evolução Ecolodge
609,Byron Bay,AU,76.95,scattered clouds,-28.65,153.6167,Backpackers Inn
610,Deniliquin,AU,75.43,broken clouds,-35.5333,144.9667,Riviana Motel
614,Alofi,NU,84.09,broken clouds,-19.0595,-169.9187,Taloa Heights
617,Barreirinha,BR,75.02,overcast clouds,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
628,Bodden Town,KY,80.6,few clouds,19.2833,-81.25,Will T Place
632,Coahuayana,MX,83.55,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
638,The Valley,AI,78.66,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
642,Pochutla,MX,84.02,few clouds,15.7432,-96.4661,Hotel Posada San Jose
655,Puerto Escondido,MX,85.03,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
660,Palauig,PH,83.05,overcast clouds,15.435,119.9045,Alperi Botique Resort
663,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
664,Cabo San Lucas,MX,80.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
670,Sola,VU,88.47,scattered clouds,-13.8833,167.55,Leumerus Bungalows
677,Flinders,AU,80.06,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
678,Kralendijk,BQ,80.58,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
