City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Saint-Paul,RE,-21.0096,55.2707,77.11,81,22,2.98,few clouds,2022-04-11 00:12:07
1,Busselton,AU,-33.65,115.3333,54.82,78,74,8.43,broken clouds,2022-04-11 00:12:07
2,Avarua,CK,-21.2078,-159.775,84.25,74,40,3.44,light rain,2022-04-11 00:12:07
3,Barrow,US,71.2906,-156.7887,1.42,78,100,19.57,haze,2022-04-11 00:12:08
4,Jamestown,US,42.097,-79.2353,37.18,53,0,10.36,clear sky,2022-04-11 00:12:08
5,Codrington,AU,-38.2667,141.9667,61.38,51,84,11.99,broken clouds,2022-04-11 00:12:09
6,Peniche,PT,39.3558,-9.3811,59.07,94,65,18.07,broken clouds,2022-04-11 00:12:09
7,Bantou,CN,26.2151,117.4893,71.92,60,39,0.81,scattered clouds,2022-04-11 00:12:10
8,Porvoo,FI,60.3923,25.6651,37.24,89,96,14.54,overcast clouds,2022-04-11 00:12:10
9,Taoudenni,ML,22.6783,-3.9836,78.49,8,2,9.98,clear sky,2022-04-11 00:12:11
10,Rikitea,PF,-23.1203,-134.9692,79.07,74,4,17.29,light rain,2022-04-11 00:12:11
11,Gondanglegi,ID,-7.7479,112.0132,77.7,86,14,5.95,few clouds,2022-04-11 00:12:12
12,Lompoc,US,34.6391,-120.4579,70.12,63,0,35.99,clear sky,2022-04-11 00:12:12
13,Tasiilaq,GL,65.6145,-37.6368,15.96,86,67,4.05,broken clouds,2022-04-11 00:12:12
14,San Quintin,MX,30.4833,-115.95,63.75,67,8,8.12,clear sky,2022-04-11 00:12:13
15,Lamu,KE,-2.2717,40.902,81.97,75,14,13.22,few clouds,2022-04-11 00:12:14
16,Port Alfred,ZA,-33.5906,26.891,66.18,88,100,4.0,overcast clouds,2022-04-11 00:12:15
17,Vaini,TO,-21.2,-175.2,82.56,78,40,9.22,scattered clouds,2022-04-11 00:12:15
18,Otavi,NA,-19.65,17.3333,70.25,54,94,9.24,overcast clouds,2022-04-11 00:12:16
19,Bambous Virieux,MU,-20.3428,57.7575,74.21,77,63,18.59,light rain,2022-04-11 00:12:16
20,Butaritari,KI,3.0707,172.7902,79.88,79,94,7.36,moderate rain,2022-04-11 00:12:17
21,Ushuaia,AR,-54.8,-68.3,39.07,74,100,3.67,overcast clouds,2022-04-11 00:12:17
22,Nicoya,CR,10.1483,-85.452,83.62,58,95,10.69,overcast clouds,2022-04-11 00:12:18
23,Olginskaya,RU,47.1879,39.9492,63.93,63,100,9.13,overcast clouds,2022-04-11 00:12:18
24,New Norfolk,AU,-42.7826,147.0587,56.71,55,95,1.99,overcast clouds,2022-04-11 00:12:19
25,Yellowknife,CA,62.456,-114.3525,19.42,78,47,15.93,scattered clouds,2022-04-11 00:12:19
26,Moron,AR,-34.6534,-58.6198,71.92,80,46,7.58,scattered clouds,2022-04-11 00:09:29
27,Carnarvon,AU,-24.8667,113.6333,66.27,68,3,9.22,clear sky,2022-04-11 00:12:20
28,Atuona,PF,-9.8,-139.0333,79.43,77,13,15.26,few clouds,2022-04-11 00:12:01
29,Hithadhoo,MV,-0.6,73.0833,83.53,67,17,13.27,few clouds,2022-04-11 00:12:20
30,Mataura,NZ,-46.1927,168.8643,64.33,46,2,9.86,clear sky,2022-04-11 00:12:21
31,Cape Town,ZA,-33.9258,18.4232,70.92,66,2,5.99,clear sky,2022-04-11 00:12:21
32,Ardmore,US,34.1743,-97.1436,79.25,54,0,18.41,clear sky,2022-04-11 00:10:10
33,Kieta,PG,-6.2167,155.6333,84.74,67,96,3.27,overcast clouds,2022-04-11 00:12:22
34,Pisco,PE,-13.7,-76.2167,68.05,73,0,17.27,clear sky,2022-04-11 00:12:22
35,Oulu,FI,65.0124,25.4682,32.22,93,75,4.61,broken clouds,2022-04-11 00:12:23
36,Hilo,US,19.7297,-155.09,78.53,81,100,6.91,overcast clouds,2022-04-11 00:10:20
37,Manono,CD,-7.3,27.4167,71.17,81,91,4.27,overcast clouds,2022-04-11 00:12:24
38,Hanyang,CN,32.1371,105.5126,64.31,72,68,3.33,broken clouds,2022-04-11 00:12:24
39,Batemans Bay,AU,-35.7167,150.1833,69.1,52,21,2.62,few clouds,2022-04-11 00:12:25
40,Turayf,SA,31.6725,38.6637,66.78,19,1,7.23,clear sky,2022-04-11 00:12:25
41,Lasa,IT,46.6166,10.7002,35.69,53,8,2.26,clear sky,2022-04-11 00:12:26
42,Bluff,NZ,-46.6,168.3333,60.19,63,7,18.95,clear sky,2022-04-11 00:12:26
43,Airai,TL,-8.9266,125.4092,68.36,56,47,2.48,scattered clouds,2022-04-11 00:12:27
44,Hobyo,SO,5.3505,48.5268,81.28,77,7,10.6,clear sky,2022-04-11 00:12:27
45,Kavaratti,IN,10.5669,72.642,83.39,75,96,8.34,overcast clouds,2022-04-11 00:12:28
46,Bandarbeyla,SO,9.4942,50.8122,78.78,81,9,0.83,clear sky,2022-04-11 00:12:28
47,Oktyabrskoye,RU,43.0645,44.7417,42.94,81,100,2.24,overcast clouds,2022-04-11 00:12:29
48,Ponca City,US,36.707,-97.0856,74.95,30,0,8.05,clear sky,2022-04-11 00:08:42
49,Kumla,SE,59.1277,15.1434,37.35,70,83,6.91,broken clouds,2022-04-11 00:13:29
50,Narrabri,AU,-30.3167,149.7833,77.52,65,0,1.01,clear sky,2022-04-11 00:13:30
51,Zhanaozen,KZ,43.3,52.8,57.25,44,0,7.0,clear sky,2022-04-11 00:13:30
52,Sao Filipe,CV,14.8961,-24.4956,71.82,78,3,9.44,clear sky,2022-04-11 00:13:31
53,Puerto Ayora,EC,-0.7393,-90.3518,78.55,93,96,7.0,overcast clouds,2022-04-11 00:13:31
54,Kiama,AU,-34.6833,150.8667,79.57,66,13,3.0,few clouds,2022-04-11 00:13:32
55,Tubinskiy,RU,52.8892,58.2225,38.23,90,49,9.86,scattered clouds,2022-04-11 00:13:32
56,Kapaa,US,22.0752,-159.319,79.12,82,100,12.66,overcast clouds,2022-04-11 00:08:34
57,Port Elizabeth,ZA,-33.918,25.5701,66.09,98,100,7.0,overcast clouds,2022-04-11 00:13:33
58,Miquelon,PM,47.0975,-56.3814,38.93,98,96,21.39,overcast clouds,2022-04-11 00:13:33
59,Gouloure,BF,12.2306,-1.9289,91.69,28,77,3.15,broken clouds,2022-04-11 00:13:33
60,Pandan,PH,14.0453,124.1694,79.72,89,100,17.94,overcast clouds,2022-04-11 00:13:34
61,Esperance,AU,-33.8667,121.9,63.84,83,70,14.16,broken clouds,2022-04-11 00:13:34
62,Kaitangata,NZ,-46.2817,169.8464,59.14,50,9,6.15,clear sky,2022-04-11 00:13:35
63,Longyearbyen,SJ,78.2186,15.6401,10.24,56,0,23.02,clear sky,2022-04-11 00:13:35
64,Maputo,MZ,-25.9653,32.5892,67.6,95,98,7.94,moderate rain,2022-04-11 00:13:35
65,Lagoa,PT,39.05,-27.9833,56.14,66,91,30.89,overcast clouds,2022-04-11 00:13:36
66,Am Timan,TD,11.0297,20.2827,84.31,51,100,4.7,overcast clouds,2022-04-11 00:13:36
67,Tamale,GH,9.4008,-0.8393,86.25,47,96,8.63,light rain,2022-04-11 00:13:36
68,Yulara,AU,-25.2406,130.9889,78.64,21,0,8.05,clear sky,2022-04-11 00:13:37
69,Sitka,US,57.0531,-135.33,51.69,30,20,5.75,few clouds,2022-04-11 00:13:37
70,Bredasdorp,ZA,-34.5322,20.0403,62.35,95,8,5.82,clear sky,2022-04-11 00:13:37
71,Punta Arenas,CL,-53.15,-70.9167,44.71,81,75,4.61,broken clouds,2022-04-11 00:13:38
72,Aklavik,CA,68.2191,-135.0107,11.91,73,80,4.56,broken clouds,2022-04-11 00:13:38
73,Bogalusa,US,30.791,-89.8487,71.78,54,4,8.39,clear sky,2022-04-11 00:13:39
74,Karaton,ID,-6.3424,106.1045,75.25,92,100,2.93,overcast clouds,2022-04-11 00:13:39
75,Carbonia,IT,39.1672,8.5222,48.0,65,25,6.38,scattered clouds,2022-04-11 00:13:39
76,Swan Hill,AU,-35.3378,143.5544,70.88,54,83,9.78,broken clouds,2022-04-11 00:13:40
77,Alirajpur,IN,22.3031,74.3546,78.51,39,27,7.18,scattered clouds,2022-04-11 00:13:40
78,Dikson,RU,73.5069,80.5464,-8.23,100,100,4.5,overcast clouds,2022-04-11 00:13:41
79,Sakakah,SA,29.9697,40.2064,68.86,18,76,7.87,broken clouds,2022-04-11 00:13:41
80,Albany,US,42.6001,-73.9662,42.03,64,86,4.0,overcast clouds,2022-04-11 00:11:32
81,Flin Flon,CA,54.7682,-101.865,31.37,71,100,9.04,overcast clouds,2022-04-11 00:13:42
82,Half Moon Bay,US,37.4636,-122.4286,68.41,59,0,35.68,haze,2022-04-11 00:13:42
83,Hobart,AU,-42.8794,147.3294,57.06,66,75,9.22,broken clouds,2022-04-11 00:13:10
84,Necochea,AR,-38.5473,-58.7368,64.02,96,100,13.13,moderate rain,2022-04-11 00:13:42
85,Saint-Philippe,RE,-21.3585,55.7679,76.59,82,54,14.29,light rain,2022-04-11 00:13:43
86,Teeli,RU,51.0333,90.2333,32.63,55,100,2.42,light snow,2022-04-11 00:13:43
87,Te Anau,NZ,-45.4167,167.7167,53.38,78,66,9.28,broken clouds,2022-04-11 00:13:44
88,Nanortalik,GL,60.1432,-45.2371,30.6,76,100,3.4,overcast clouds,2022-04-11 00:13:44
89,Kapit,MY,2.0167,112.9333,74.91,96,83,0.96,broken clouds,2022-04-11 00:13:44
90,Colares,PT,38.7992,-9.4469,59.99,78,79,15.99,broken clouds,2022-04-11 00:13:45
91,Aykhal,RU,66.0,111.5,18.27,96,74,3.53,broken clouds,2022-04-11 00:13:45
92,Kupang,ID,-10.1667,123.5833,80.76,76,31,5.91,scattered clouds,2022-04-11 00:11:19
93,Bengkulu,ID,-3.8004,102.2655,75.13,90,87,3.6,overcast clouds,2022-04-11 00:13:46
94,Narsaq,GL,60.9167,-46.05,32.22,55,100,2.84,overcast clouds,2022-04-11 00:14:46
95,Araouane,ML,18.9048,-3.5265,81.21,6,0,9.1,clear sky,2022-04-11 00:14:47
96,Nyurba,RU,63.2842,118.3319,15.53,96,97,3.85,overcast clouds,2022-04-11 00:14:47
97,Pevek,RU,69.7008,170.3133,-9.15,91,95,6.96,overcast clouds,2022-04-11 00:14:47
98,Okato,NZ,-39.2,173.8833,67.51,71,51,6.38,broken clouds,2022-04-11 00:14:48
99,Mandalgovi,MN,45.7625,106.2708,23.61,80,75,18.45,broken clouds,2022-04-11 00:14:48
100,Kungurtug,RU,50.5994,97.5228,15.93,76,100,2.48,overcast clouds,2022-04-11 00:14:49
101,Bethel,US,41.3712,-73.414,45.48,65,91,1.99,overcast clouds,2022-04-11 00:14:49
102,Hibbing,US,47.4272,-92.9377,44.2,26,100,5.75,overcast clouds,2022-04-11 00:14:49
103,Vicosa Do Ceara,BR,-3.5622,-41.0922,66.79,99,96,1.7,overcast clouds,2022-04-11 00:14:50
104,Constitucion,CL,-35.3333,-72.4167,49.42,83,3,9.69,clear sky,2022-04-11 00:14:50
105,Ahipara,NZ,-35.1667,173.1667,70.03,56,90,10.02,overcast clouds,2022-04-11 00:14:50
106,Bytosh,RU,53.8186,34.0912,38.26,84,100,4.18,overcast clouds,2022-04-11 00:14:51
107,Ishigaki,JP,24.3448,124.1572,75.33,86,71,11.7,broken clouds,2022-04-11 00:14:51
108,Samarai,PG,-10.6167,150.6667,84.97,72,71,16.84,broken clouds,2022-04-11 00:14:52
109,Ingham,US,42.6,-84.3833,55.02,37,0,11.5,clear sky,2022-04-11 00:14:52
110,Nikolskoye,RU,59.7035,30.7861,37.87,92,7,8.41,clear sky,2022-04-11 00:14:53
111,Nelson Bay,AU,-32.7167,152.15,77.0,77,10,6.51,clear sky,2022-04-11 00:14:53
112,Grand Gaube,MU,-20.0064,57.6608,77.4,87,8,5.01,clear sky,2022-04-11 00:14:53
113,Pointe-Noire,CG,-4.7761,11.8635,77.49,91,85,2.1,overcast clouds,2022-04-11 00:14:54
114,Mahebourg,MU,-20.4081,57.7,77.29,78,40,14.97,scattered clouds,2022-04-11 00:14:54
115,Tuy Hoa,VN,13.0833,109.3,74.34,87,47,2.98,scattered clouds,2022-04-11 00:10:55
116,Karratha,AU,-20.7377,116.8463,82.06,35,0,10.83,clear sky,2022-04-11 00:14:55
117,Torbay,CA,47.6666,-52.7314,34.29,94,100,11.5,mist,2022-04-11 00:14:55
118,East London,ZA,-33.0153,27.9116,64.72,88,100,10.98,light rain,2022-04-11 00:14:55
119,Qaanaaq,GL,77.484,-69.3632,-6.84,75,33,6.71,scattered clouds,2022-04-11 00:14:56
120,Bastia,FR,42.6667,9.3333,50.31,66,0,3.44,clear sky,2022-04-11 00:14:56
121,Fort Nelson,CA,58.8053,-122.7002,26.26,76,100,7.34,overcast clouds,2022-04-11 00:14:57
122,Castro,BR,-24.7911,-50.0119,61.45,78,54,5.26,broken clouds,2022-04-11 00:12:42
123,Norman Wells,CA,65.282,-126.8329,16.48,79,97,14.45,overcast clouds,2022-04-11 00:14:57
124,Petatlan,MX,17.5167,-101.2667,82.92,60,97,5.21,overcast clouds,2022-04-11 00:14:58
125,Bintulu,MY,3.1667,113.0333,76.71,90,98,3.4,overcast clouds,2022-04-11 00:14:58
126,Celestun,MX,20.8667,-90.4,82.51,50,27,18.81,scattered clouds,2022-04-11 00:14:59
127,Mizan Teferi,ET,6.9833,35.5833,63.93,73,43,3.38,scattered clouds,2022-04-11 00:14:59
128,Esmeraldas,BR,-19.7625,-44.3139,77.86,79,26,3.91,scattered clouds,2022-04-11 00:14:59
129,Kahului,US,20.8947,-156.47,86.02,62,40,23.02,scattered clouds,2022-04-11 00:10:31
130,Turukhansk,RU,65.8167,87.9833,-2.78,100,99,5.7,overcast clouds,2022-04-11 00:15:00
131,Lebu,CL,-37.6167,-73.65,50.54,82,23,9.84,few clouds,2022-04-11 00:15:00
132,Conceicao Do Araguaia,BR,-8.2578,-49.2647,74.57,95,96,4.54,overcast clouds,2022-04-11 00:15:01
133,Udachnyy,RU,66.4167,112.4,21.45,52,98,3.22,overcast clouds,2022-04-11 00:15:01
134,Orbetello,IT,42.4408,11.2196,45.43,57,5,4.12,clear sky,2022-04-11 00:15:02
135,Khatanga,RU,71.9667,102.5,3.79,95,97,2.55,overcast clouds,2022-04-11 00:12:56
136,Nouadhibou,MR,20.931,-17.0347,62.58,88,44,17.27,scattered clouds,2022-04-11 00:15:02
137,Trelew,AR,-43.249,-65.3051,54.21,64,48,10.94,scattered clouds,2022-04-11 00:15:03
138,Mirnyy,RU,62.5353,113.9611,23.23,41,100,1.99,overcast clouds,2022-04-11 00:15:03
139,Kousseri,CM,12.0769,15.0306,90.21,23,91,6.49,overcast clouds,2022-04-11 00:15:03
140,Cidreira,BR,-30.1811,-50.2056,71.96,87,100,19.75,overcast clouds,2022-04-11 00:15:04
141,Mildura,AU,-34.2,142.15,74.32,46,45,11.45,scattered clouds,2022-04-11 00:15:04
142,Howard Springs,AU,-12.497,131.047,87.71,84,66,2.75,broken clouds,2022-04-11 00:16:05
143,Richards Bay,ZA,-28.783,32.0377,64.89,97,100,8.25,moderate rain,2022-04-11 00:16:06
144,Geraldton,AU,-28.7667,114.6,63.01,94,75,8.05,broken clouds,2022-04-11 00:16:06
145,Adolfo Lopez Mateos,MX,28.4667,-107.3,69.93,21,77,24.87,broken clouds,2022-04-11 00:16:06
146,Inta,RU,66.0317,60.1659,35.82,99,100,6.31,overcast clouds,2022-04-11 00:16:07
147,Mackay,AU,-21.15,149.2,79.68,82,87,18.03,overcast clouds,2022-04-11 00:16:07
148,Hofn,IS,64.2539,-15.2082,35.67,68,100,4.05,overcast clouds,2022-04-11 00:16:08
149,Freising,DE,48.4035,11.7488,35.65,91,0,4.61,clear sky,2022-04-11 00:16:08
150,San Patricio,US,28.017,-97.5169,78.55,71,88,26.62,overcast clouds,2022-04-11 00:16:08
151,Berlevag,NO,70.8578,29.0864,33.6,98,100,29.12,snow,2022-04-11 00:16:09
152,Darhan,MN,49.4867,105.9228,31.55,52,35,2.77,scattered clouds,2022-04-11 00:16:09
153,Rancho Palos Verdes,US,33.7445,-118.387,72.0,73,77,11.01,broken clouds,2022-04-11 00:15:54
154,Pangai,TO,-19.8,-174.35,84.31,74,20,5.75,few clouds,2022-04-11 00:16:10
155,Hami,CN,42.8,93.45,52.75,21,96,1.19,overcast clouds,2022-04-11 00:16:10
156,Zhangye,CN,38.9342,100.4517,45.0,26,100,4.5,overcast clouds,2022-04-11 00:16:10
157,Bara,NG,10.3744,10.7288,80.67,46,62,6.15,broken clouds,2022-04-11 00:16:11
158,Thompson,CA,55.7435,-97.8558,34.97,79,98,7.34,light snow,2022-04-11 00:16:11
159,Ibotirama,BR,-12.1853,-43.2206,80.35,29,27,3.67,scattered clouds,2022-04-11 00:16:12
160,Saint George,US,37.1041,-113.5841,69.64,8,0,9.22,clear sky,2022-04-11 00:12:31
161,Porto Walter,BR,-8.2686,-72.7439,73.6,97,99,1.1,overcast clouds,2022-04-11 00:16:12
162,Upernavik,GL,72.7868,-56.1549,3.72,87,99,6.44,overcast clouds,2022-04-11 00:16:13
163,Trinidad,BO,-14.8333,-64.9,75.83,90,27,3.69,scattered clouds,2022-04-11 00:16:13
164,Atar,MR,20.5169,-13.0499,77.45,7,9,0.98,clear sky,2022-04-11 00:16:14
165,Torit,SS,4.4133,32.5678,77.43,49,66,2.86,broken clouds,2022-04-11 00:16:14
166,Monte Alegre,BR,-2.0078,-54.0692,74.14,97,100,3.98,overcast clouds,2022-04-11 00:16:15
167,Ocos,GT,14.5094,-92.1933,87.98,65,26,7.4,scattered clouds,2022-04-11 00:16:15
168,Ouesso,CG,1.6136,16.0517,71.4,92,99,0.63,overcast clouds,2022-04-11 00:16:15
169,Leshukonskoye,RU,64.8989,45.7622,31.41,93,90,6.02,overcast clouds,2022-04-11 00:16:16
170,Mitu,CO,1.1983,-70.1733,73.4,95,100,1.63,moderate rain,2022-04-11 00:16:16
171,Praia Da Vitoria,PT,38.7333,-27.0667,56.75,71,40,28.68,scattered clouds,2022-04-11 00:16:17
172,Shahr-E Kord,IR,32.3256,50.8644,35.37,38,0,2.3,clear sky,2022-04-11 00:16:17
173,Ucluelet,CA,48.9329,-125.5528,44.91,62,64,4.27,broken clouds,2022-04-11 00:16:17
174,Pahrump,US,36.2083,-115.9839,72.25,9,36,5.99,scattered clouds,2022-04-11 00:16:18
175,Chuy,UY,-33.6971,-53.4616,68.54,88,51,12.06,broken clouds,2022-04-11 00:16:18
176,Arraial Do Cabo,BR,-22.9661,-42.0278,75.81,82,26,4.92,scattered clouds,2022-04-11 00:16:19
177,Cravo Norte,CO,6.3017,-70.2041,86.92,47,100,3.98,overcast clouds,2022-04-11 00:16:19
178,Souillac,MU,-20.5167,57.5167,76.93,78,57,17.05,light rain,2022-04-11 00:14:48
179,Mityana,UG,0.4175,32.0228,65.5,87,100,1.54,light rain,2022-04-11 00:16:20
180,Ponta Do Sol,PT,32.6667,-17.1,62.71,74,23,15.26,few clouds,2022-04-11 00:16:20
181,Hasaki,JP,35.7333,140.8333,70.29,80,99,15.03,overcast clouds,2022-04-11 00:16:21
182,Liverpool,GB,53.4106,-2.9779,50.29,62,100,8.05,overcast clouds,2022-04-11 00:13:04
183,Faanui,PF,-16.4833,-151.75,81.5,75,6,16.82,light rain,2022-04-11 00:16:22
184,Kilindoni,TZ,-7.9139,39.6668,82.44,75,27,16.51,light rain,2022-04-11 00:16:22
185,San Andres,CO,12.5847,-81.7006,80.62,78,20,10.36,few clouds,2022-04-11 00:16:22
186,Tuktoyaktuk,CA,69.4541,-133.0374,3.2,66,20,14.97,few clouds,2022-04-11 00:16:23
187,Adrar,MR,20.5022,-10.0711,78.84,7,3,9.98,clear sky,2022-04-11 00:16:23
188,Zhigansk,RU,66.7697,123.3711,4.8,94,55,8.88,broken clouds,2022-04-11 00:12:13
189,Methoni,GR,36.8197,21.7049,55.22,59,5,30.53,clear sky,2022-04-11 00:16:24
190,Iralaya,HN,15.0,-83.2333,78.4,83,59,13.04,broken clouds,2022-04-11 00:17:24
191,Telimele,GN,10.9167,-13.3333,70.5,80,4,2.59,clear sky,2022-04-11 00:17:25
192,Lata,PT,40.1629,-8.3327,51.85,82,48,5.97,scattered clouds,2022-04-11 00:14:51
193,Revda,RU,56.801,59.9303,32.38,98,92,5.26,overcast clouds,2022-04-11 00:17:26
194,Meulaboh,ID,4.1363,96.1285,76.6,89,99,3.38,heavy intensity rain,2022-04-11 00:17:26
195,Mezen,RU,65.8522,44.24,32.05,89,73,9.31,broken clouds,2022-04-11 00:17:26
196,Boden,SE,65.8252,21.6886,24.8,98,84,4.25,light snow,2022-04-11 00:17:27
197,Gizo,SB,-8.103,156.8419,84.54,67,51,4.5,broken clouds,2022-04-11 00:16:39
198,Chilca,PE,-12.5211,-76.7372,67.69,88,54,6.38,broken clouds,2022-04-11 00:17:27
199,Majene,ID,-3.5403,118.9707,79.47,81,74,4.61,broken clouds,2022-04-11 00:17:28
200,Waingapu,ID,-9.6567,120.2641,79.68,74,21,4.16,few clouds,2022-04-11 00:17:28
201,Krasnyy Luch,UA,48.1395,38.9371,54.95,65,100,9.91,overcast clouds,2022-04-11 00:17:29
202,Kuloy,RU,61.0305,42.4925,32.38,94,100,4.25,overcast clouds,2022-04-11 00:17:29
203,Inirida,CO,3.8653,-67.9239,75.07,93,96,2.75,overcast clouds,2022-04-11 00:17:30
204,Kurtamysh,RU,54.9103,64.4319,39.56,72,99,11.39,overcast clouds,2022-04-11 00:17:30
205,Kaeo,NZ,-35.1,173.7833,70.32,72,100,10.67,overcast clouds,2022-04-11 00:17:30
206,Grindavik,IS,63.8424,-22.4338,37.35,75,100,17.27,overcast clouds,2022-04-11 00:17:31
207,Nyrob,RU,60.733,56.7202,37.4,99,100,6.87,overcast clouds,2022-04-11 00:17:31
208,Provideniya,RU,64.3833,-173.3,28.51,74,75,7.0,broken clouds,2022-04-11 00:17:31
209,Vallenar,CL,-28.5708,-70.7581,64.02,57,0,2.93,clear sky,2022-04-11 00:15:25
210,Kodiak,US,57.79,-152.4072,45.91,31,0,9.22,clear sky,2022-04-11 00:16:17
211,Port Hedland,AU,-20.3167,118.5667,82.45,65,0,8.05,clear sky,2022-04-11 00:17:32
212,Kalaleh,IR,37.3807,55.4916,49.6,93,40,0.0,scattered clouds,2022-04-11 00:17:33
213,Ukiah,US,39.1502,-123.2078,63.45,45,0,12.66,clear sky,2022-04-11 00:17:33
214,Bokaa,BW,-24.45,26.0167,59.65,95,100,10.47,overcast clouds,2022-04-11 00:17:34
215,Kilembe,UG,0.2,30.0,64.51,74,100,3.4,overcast clouds,2022-04-11 00:17:34
216,Montepuez,MZ,-13.1256,38.9997,66.87,99,4,3.65,clear sky,2022-04-11 00:17:34
217,Zhangjiakou,CN,40.81,114.8794,61.39,16,99,11.9,overcast clouds,2022-04-11 00:17:35
218,Sarangani,PH,5.4033,125.4636,82.51,79,96,20.98,overcast clouds,2022-04-11 00:17:35
219,Bitung,ID,1.4451,125.1824,85.05,74,82,13.69,broken clouds,2022-04-11 00:17:36
220,Jablah,SY,35.3614,35.9256,57.49,82,0,2.3,clear sky,2022-04-11 00:17:36
221,Tingi,TZ,-11.3,35.0333,62.28,96,55,3.89,broken clouds,2022-04-11 00:17:37
222,Espumoso,BR,-28.7247,-52.8497,68.83,77,100,1.05,overcast clouds,2022-04-11 00:17:37
223,Dubovskoye,RU,47.4092,42.7575,52.38,62,100,9.69,overcast clouds,2022-04-11 00:17:38
224,Nagato,JP,34.3833,131.2,63.19,71,99,14.74,overcast clouds,2022-04-11 00:17:38
225,Kashary,RU,49.04,41.0056,55.04,56,100,10.83,overcast clouds,2022-04-11 00:17:39
226,Saldanha,ZA,-33.0117,17.9442,66.85,50,4,7.52,clear sky,2022-04-11 00:17:39
227,Mingaora,PK,34.7758,72.3625,68.72,28,53,8.75,broken clouds,2022-04-11 00:17:39
228,Bairiki,KI,1.3292,172.9752,86.0,74,20,6.91,few clouds,2022-04-11 00:17:40
